stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2269,2269,"EB Skyview Ranch DR @ Skyview Ranch ST NE",,  51.157949,-113.954998,,,0
2270,2270,"NB Skyview Ranch BV @ Skyview Point CM NE",,  51.158607,-113.950978,,,0
2271,2271,"NB Skyview Ranch BV @ Skyview Ranch AV NE",,  51.161077,-113.950700,,,0
2272,2272,"WB Skyview Ranch RD @ Skyview Ranch BV NE",,  51.163052,-113.950965,,,0
2273,2273,"EB 80 AV NE @ Martha's Meadows DR",,  51.125064,-113.963948,,,0
2274,2274,"EB COUNTRY HILLS BV @ 14 ST NE",,  51.154125,-114.027317,,,0
2275,2275,"WB Country Hills BV @ 19 ST NE",,  51.154459,-114.028812,,,0
2276,2276,"EB 64 AV NE @ 11 ST NE",,  51.110457,-114.035369,,,0
2277,2277,"NB Aero DR @ S of Aero GT NE",,  51.118302,-114.031379,,,0
2278,2278,"NB Aero DR @ S of Aero GT NE",,  51.119365,-114.033096,,,0
2279,2279,"WB Aero GT @ W of Aero DR NE",,  51.121357,-114.036829,,,0
2280,2280,"SB Aero DR @ S of Aero GT NE",,  51.121147,-114.036325,,,0
2281,2281,"SB Aero DR @ S of Aero GT NE",,  51.119402,-114.033443,,,0
2282,2282,"SB Aero DR @ S of Aero GT NE",,  51.117845,-114.031240,,,0
2300,2300,"NB 52 ST SE @ 94 AV SE",,  50.969216,-113.958206,,,0
2301,2301,"SB 52 ST SE @ 94 AV SE",,  50.968246,-113.958533,,,0
2302,2302,"NB 52 ST SE @ Copperfield GA",,  50.910794,-113.949361,,,0
2303,2303,"SB 52 ST SE @ Copperfield GA",,  50.910127,-113.949416,,,0
2304,2304,"WB 26 AV SW @ 37 ST SW",,  51.030132,-114.141502,,,0
2306,2306,"SB 2A ST SE @ N.OF 25 AV SE",,  51.032559,-114.058432,,,0
2308,2308,"SB Arbour Lake WY @ Arbour Ridge WY NW",,  51.137240,-114.190388,,,0
2309,2309,"SB 10 ST NW @ S.of Gladstone RD",,  51.055976,-114.086136,,,0
2407,2407,"WB 104 AV NE @ Cityscape DR",,  51.147286,-113.966919,,,0
2412,2412,"WB 104 AV NE @ Metis TR",,  51.147273,-113.970448,,,0
2413,2413,"WB 104 AV NE @ 36 ST NE",,  51.147118,-113.980008,,,0
2414,2414,"EB 104 AV NE @ 36 ST NE",,  51.146861,-113.979988,,,0
2415,2415,"EB 104 AV NE @ Metis TR",,  51.147030,-113.970583,,,0
2416,2416,"WB 72 AV NE @ 10 ST NE",,  51.117887,-114.040733,,,0
2417,2417,"EB 72 AV NE @ 8 ST NE",,  51.117711,-114.044381,,,0
3400,3400,"WB Discovery Ridge BV @ Discovery Ridge GD SW",,  51.015953,-114.219941,,,0
3401,3401,"EB Aspen Hills DR N. of Aspen Stone BV SW",,  51.040265,-114.217047,,,0
3402,3402,"SB Cortina DR @ Tremblant WY SW",,  51.035913,-114.222888,,,0
3487,3487,"SB 5 St SW @ 7 Av SW",,  51.046914,-114.073920,,,0
3488,3488,"Shawnessy Station",,  50.910603,-114.070042,,,0
3489,3489,"Dalhousie LRT Station EB",,  51.104187,-114.158392,,,0
3490,3490,"Dalhousie LRT Station EB",,  51.104141,-114.158194,,,0
3491,3491,"EB Sage Hill Dr @ nearside of Symons Valley Rd NW",,  51.169600,-114.133924,,,0
3492,3492,"WB Sage Hill Dr @ Symons Valley Rd NW",,  51.169782,-114.134893,,,0
3493,3493,"WB Sage Hill Ga @ 37 St NW",,  51.170974,-114.142365,,,0
3494,3494,"EB Sage Hill Ga @ 37 St NW",,  51.170659,-114.142492,,,0
3495,3495,"SB West Campus DR @ Oki DR NW",,  51.074501,-114.145113,,,0
3496,3496,"WB Country Village WY @ Harvest Hills BV N",,  51.156761,-114.069188,,,0
3497,3497,"WB Country Village WY @ Harvest Hills BV N",,  51.156824,-114.068671,,,0
3498,3498,"WB Country Village WY @ Harvest Hills BV N",,  51.156853,-114.068435,,,0
3499,3499,"SB Country Village Li NE @ Country Village Wy",,  51.158540,-114.067908,,,0
3500,3500,"WB Front ST @ Main Ent. South Health Campus SE",,  50.880966,-113.951546,,,0
3501,3501,"EB Seton BV @ Auburn Bay LI SE",,  50.882798,-113.954296,,,0
3502,3502,"SB 52 ST SE @ Mahogany GA",,  50.898842,-113.944510,,,0
3503,3503,"NB 52 ST SE @ Mahogany GA",,  50.900412,-113.944773,,,0
3505,3505,"NB 52 ST SE @ Mahogany RD",,  50.893483,-113.942661,,,0
3506,3506,"SB 52 ST SE @ McKenzie Terminal",,  50.915188,-113.956477,,,0
3507,3507,"NB 52 ST SE @ McKenzie Terminal",,  50.915436,-113.957102,,,0
3508,3508,"SB Ogden RD @ 50 AV SE",,  51.008223,-114.011446,,,0
3509,3509,"NB Ogden RD @ 50 AV SE",,  51.006868,-114.011330,,,0
3511,3511,"EB Copperpond BV @ McIvor BV SE",,  50.923031,-113.932345,,,0
3512,3512,"WB Copperpond BV @ Copperpond CM SE",,  50.924112,-113.929996,,,0
3513,3513,"EB Copperpond BV @ Copperpond RD SE",,  50.923997,-113.929826,,,0
3514,3514,"WB Copperpond BV @ Copperpond GA SE",,  50.924909,-113.925575,,,0
3515,3515,"EB Copperpond BV @ Copperpond GA SE",,  50.924537,-113.925575,,,0
3516,3516,"NB Copperpond BV @ Copperpond PA SE",,  50.921263,-113.920128,,,0
3517,3517,"SB Copperpond BV @ Copperpond PA SE",,  50.921234,-113.920146,,,0
3518,3518,"NB Copperpond BV @ Copperpond ST SE",,  50.917953,-113.918397,,,0
3519,3519,"SB Copperpond BV @ Copperpond ST SE",,  50.917974,-113.918572,,,0
3520,3520,"NB Copperpond BV @ Copperstone ST SE",,  50.916084,-113.917700,,,0
3521,3521,"WB Copperstone DR @ Copperpond BV SE",,  50.915759,-113.918147,,,0
